CNT;Card;CID;Denom0;Denom1;Denom2;Currency
AT;Messenger;22860;5;10;20;EUR
AT;Elephant;22860;5;10;20;EUR
AT;One World;22859;5;10;20;EUR
AT;Tiger;22859;5;10;20;EUR
AT;Topi;21308;5;10;20;EUR
CH;Touch;22868;5;10;20;CHF
CH;Universal;22866;5;10;20;CHF
CH;Latino;2170;5;10;20;CHF
CH;Topi;21247;5;10;20;CHF
CH;Topmobile;4659;5;10;20;CHF
ES;Universal;22880;5;10;20;EUR
ES;Global One;22007;5;10;20;EUR
ES;Topi Card;21256;5;10;20;EUR
ES;New Action;22877;5;10;20;EUR
IT;Casino;21736;5;10;20;EUR
IT;Purple;21692;5;10;20;EUR
IT;Universal;22880;5;10;20;EUR
IT;Sailpost Africa;21678;5;10;20;EUR
IT;World;21678;5;10;20;EUR
BE;Unity Extra;21443;5;10;20;EUR
BE;XL-CALL;2346;5;10;20;EUR
BE;Just Crazy;2838;5;10;20;EUR
BE;Unity;2078;5;10;20;EUR
DE;Compass;22894;5;10;20;EUR
DE;Adventure;21727;5;10;20;EUR
DE;Topi;21399;5;10;20;EUR
DE;Calypso;21729;5;10;20;EUR
DK;Global One;4694;50;100;200;DKK
DK;Asia Call;22228;50;100;200;DKK
DK;Africa+;2292;50;100;200;DKK
DK;Middle East Call;22227;50;100;200;DKK
FR;IDT Unity Extra;22881;5;10;20;EUR
FR;Number One;22802;5;10;20;EUR
DE;Topi;21399;5;10;20;EUR
DE;Compass;22894;5;10;20;EUR
DE;Adventure;21727;5;10;20;EUR
DE;Blue Ocean;21728;5;10;20;EUR
DE;Unity Extra;21628;5;10;20;EUR
LU;IDT XL Call;20061;5;10;20;EUR
LU;Global One;22145;5;10;20;EUR
NL;De Koningin;21485;5;10;20;EUR
NL;Premium Card;21689;5;10;20;EUR
NL;Unity Extra;21640;5;10;20;EUR
NO;One;21563;50;100;200;NOK
NO;Afrikan King;22599;50;100;200;NOK
NO;Premium Card;21561;50;100;200;NOK
SE;SE StarCard 2;21659;50;100;200;SEK
SE;Zoom;21593;50;100;200;SEK
SE;Black;21593;50;100;200;SEK
SE;Super Gold;21593;50;100;200;SEK
SE;Unity Extra;22849;50;100;200;SEK
GB;Payzone Callzone;29040;5;10;20;GPB
GB;Payzone EuropeZone;29041;5;10;20;GPB
GB;Payzone AfricaZone;29042;5;10;20;GPB
GB;WH Smith;29150;5;10;20;GPB
GB;IDT Friends;21202;5;10;20;GPB
GB;IDT Future;21385;5;10;20;GPB
GB;Talk 2 Talk;28013;5;10;20;GPB
GB;Panda;21381;5;10;20;GPB
GB;Supergold E-Phonecard GBP;2755;5;10;20;GPB
GB;Supergold E Phonecard USD;2751;5;10;20;GPB
GB;Supergold E-phonecard EU;2746;5;10;20;GPB
GB;Supergold E Phonecard USD;2751;5;10;20;GPB
GB;Supergold E-phonecard EU;2746;5;10;20;GPB
